id	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
MGYG000000071	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000071.xml.gz	411467	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus
MGYG000000075	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000075.xml.gz	1737	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Paeniclostridium	[Eubacterium] tenue
MGYG000000076	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000076.xml.gz	166486	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia intestinalis
MGYG000000080	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000080.xml.gz	411490	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
MGYG000000081	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000081.xml.gz	1121367	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium propinquum
MGYG000000083	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000083.xml.gz	1478	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus simplex
MGYG000000085	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000085.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000986	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000986.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000003847	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000003847.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004001	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004001.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004018	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004018.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004054	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004054.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004141	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004141.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000091	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000091.xml.gz	85698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
MGYG000000096	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000096.xml.gz	33968	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides
MGYG000000097	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000097.xml.gz	1605	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus animalis
MGYG000000098	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000098.xml.gz	1841855	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides bouchesdurhonensis
MGYG000000099	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000099.xml.gz	649753	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii
MGYG000000103	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000103.xml.gz	1917867	Bacteria	Firmicutes	Clostridia	Eubacteriales		Bacilliculturomica	Bacilliculturomica massiliensis
MGYG000000109	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000109.xml.gz	113107	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis
MGYG000000111	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000111.xml.gz	1302241	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
MGYG000000119	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000119.xml.gz	33035	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia producta
MGYG000000120	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000120.xml.gz	54005	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei
MGYG000000122	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000122.xml.gz	1294271	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
MGYG000000123	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000123.xml.gz	33035	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia producta
MGYG000000125	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000125.xml.gz	1519	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tyrobutyricum
MGYG000000131	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000131.xml.gz	1720200	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus rubiinfantis
MGYG000000135	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000135.xml.gz	1337051	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Murimonas	Murimonas intestini
MGYG000000138	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000138.xml.gz	387661	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii
MGYG000000140	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000140.xml.gz	290055	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena	Faecalicatena fissicatena
MGYG000000143	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000143.xml.gz	154288	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis
MGYG000000144	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000144.xml.gz	487174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis
MGYG000000146	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000146.xml.gz	39486	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea formicigenerans
MGYG000000155	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000155.xml.gz	1583	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella confusa
MGYG000000156	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000156.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000167	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000167.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000207	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000207.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000275	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000275.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000333	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000333.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000787	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000787.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000789	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000789.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000827	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000827.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000830	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000830.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000832	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000832.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000835	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000835.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000002048	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000002048.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000002065	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000002065.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000002083	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000002083.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000002294	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000002294.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004181	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004181.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004286	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004286.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000004875	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000004875.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000157	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000157.xml.gz	1505	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Paeniclostridium	Paeniclostridium sordellii
MGYG000000160	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000160.xml.gz	147206	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella stercoris
MGYG000000161	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000161.xml.gz	1604	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
MGYG000000162	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000162.xml.gz	53345	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
MGYG000000163	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000163.xml.gz	1158606	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus asini
MGYG000000164	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000164.xml.gz	2316025	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter butyricigenes
MGYG000000165	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000165.xml.gz	1796622	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Extibacter	Extibacter muris
MGYG000000166	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000166.xml.gz	575599	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum
MGYG000000173	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000173.xml.gz	102148	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
MGYG000000174	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000174.xml.gz	1217282	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides faecis
MGYG000000176	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000176.xml.gz	1544	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena	Faecalicatena orotica
MGYG000000177	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000177.xml.gz	2358141	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerotignum	Anaerotignum faecicola
MGYG000000183	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000183.xml.gz	1472417	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas paravirosa
MGYG000000184	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000184.xml.gz	649762	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia luti
MGYG000000186	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000186.xml.gz	1735	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
MGYG000000187	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000187.xml.gz	39485	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira eligens
MGYG000000189	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000189.xml.gz	33043	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
MGYG000000191	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000191.xml.gz	1398	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia coagulans
MGYG000000192	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000192.xml.gz	545696	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis
MGYG000000195	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000195.xml.gz	853	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG000000196	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000196.xml.gz	818	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
MGYG000000197	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000197.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000198	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000198.xml.gz	358743	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster citroniae
MGYG000000199	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000199.xml.gz	1318	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
MGYG000000201	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000201.xml.gz	536633	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia glucerasea
MGYG000000203	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000203.xml.gz	544645	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas virosa
MGYG000000208	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000208.xml.gz	39496	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum
MGYG000000211	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000211.xml.gz	329854	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis
MGYG000000215	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000215.xml.gz	363265	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella stercorea
MGYG000000218	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000218.xml.gz	2058289	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus provencensis
MGYG000000221	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000221.xml.gz	1936995	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides bouchesdurhonensis
MGYG000000224	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000224.xml.gz	46506	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
MGYG000000231	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000231.xml.gz	33043	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
MGYG000000234	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000234.xml.gz	519472	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus teuberi
MGYG000000236	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000236.xml.gz	817	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
MGYG000000238	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000238.xml.gz	37734	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
MGYG000000240	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000240.xml.gz	2583452	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Amedibacterium	Amedibacterium intestinale
MGYG000000243	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000243.xml.gz	204516	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		Phocaeicola	Phocaeicola massiliensis
MGYG000000247	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000247.xml.gz	147207	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis
MGYG000000248	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000248.xml.gz	137591	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella cibaria
MGYG000000252	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000252.xml.gz	40520	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia obeum
MGYG000000254	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000254.xml.gz	709991	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter splanchnicus
