id	lineage	assembly	file	kingdom	phylum	class	order	family	genus	species
MGYG000000019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000019.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000019.xml.gz	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae_O
MGYG000000020	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000020.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000020.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus	s__Latilactobacillus curvatus
MGYG000000021	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000021.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000021.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus vaginalis_A
MGYG000000022	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000022.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000022.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_C
MGYG000000023	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000023.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000023.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis
MGYG000000024	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000024.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000024.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium bifermentans
MGYG000000025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000025.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000025.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus nepalensis
MGYG000000026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000026.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000026.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Catenibacterium	s__Catenibacterium mitsuokai
MGYG000000027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000027.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000027.xml.gz	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Mitsuokella	s__Mitsuokella jalaludinii
MGYG000000028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000028.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000028.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus_A
MGYG000000030	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000030.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000030.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-603	s__CAG-603 sp900066105
MGYG000000031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000031.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000031.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900066205
MGYG000000032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000032.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000032.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella effluvii
MGYG000000033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000033.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000033.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales_A	f__UBA1381	g__CAG-41	s__CAG-41 sp900066215
MGYG000000034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000034.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000034.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Massilimaliae	s__Massilimaliae timonensis
MGYG000000035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000035.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000035.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A hydrogenotrophica
MGYG000000036	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000036.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000036.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Pseudoruminococcus	s__Pseudoruminococcus massiliensis
MGYG000000038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000038.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000038.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena
MGYG000000039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000039.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000039.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_H
MGYG000000040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000040.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000040.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UBA1191	s__UBA1191 sp900066305
MGYG000000041	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000041.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000041.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066365
MGYG000000042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066445	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000042.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000042.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445
MGYG000000043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066455	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000043.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000043.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066455
MGYG000000044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000044.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000044.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides merdae
MGYG000000045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000045.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000045.xml.gz	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Faecalibacillus	s__Faecalibacillus intestinalis
MGYG000000046	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000046.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000046.xml.gz	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera stantonii
MGYG000000047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum_A	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000047.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000047.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium disporicum_A
MGYG000000048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000048.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000048.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_P	s__Clostridium_P ventriculi
MGYG000000049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000049.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000049.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__GCA-900066495	s__GCA-900066495 sp900066495
MGYG000000050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000050.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000050.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900066505
MGYG000000051	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp900066385	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000051.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000051.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerosacchariphilus	s__Anaerosacchariphilus sp900066385
MGYG000000052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000052.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000052.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes sp000508985
MGYG000000053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000053.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000053.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp002358415
MGYG000000054	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000054.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000054.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides acidifaciens
MGYG000000055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000055.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000055.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum intestinale
MGYG000000056	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000056.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000056.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum sp002358615
MGYG000000057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000057.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000057.xml.gz	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp002491635
MGYG000000058	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000058.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000058.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_I	s__Eubacterium_I sp900066595
MGYG000000059	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000059.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000059.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900066645
MGYG000000060	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	/proj/gibbons/2022_UHGG_models/data/raw/MGYG000000060.fna.gz	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000060.xml.gz	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A
