id	taxid	organism_name	infraspecific_name	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
GCF_001648115.1	118110	Buchnera aphidicola (Schlechtendalia chinensis)	strain=SC	models/b/buchnera/Buchnera_aphidicola_Schlechtendalia_chinensis_SC.xml.gz	118110	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_N
GCF_001700895.1	118101	Buchnera aphidicola (Diuraphis noxia)		models/b/buchnera/Buchnera_aphidicola_Diuraphis_noxia.xml.gz	118101	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_D
GCF_900016785.1	98804	Buchnera aphidicola (Tuberolachnus salignus)	strain=BTs	models/b/buchnera/Buchnera_aphidicola_Tuberolachnus_salignus_BTs.xml.gz	98804	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_M
GCF_900128595.1	655384	Buchnera aphidicola (Cinara pseudotaxifoliae)	strain=BCipseudotaxifoliae	models/b/buchnera/Buchnera_aphidicola_Cinara_pseudotaxifoliae_BCipseudotaxifoliae.xml.gz	655384	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_J
GCF_900128725.1	9	Buchnera aphidicola	strain=BCifornacula	models/b/buchnera/Buchnera_aphidicola_BCifornacula.xml.gz	9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_K
GCF_900128735.1	1878935	Buchnera aphidicola (Cinara confinis)	strain=BCiconfinis	models/b/buchnera/Buchnera_aphidicola_Cinara_confinis_BCiconfinis.xml.gz	1878935	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_L
GCF_000218545.1	593907	Cellulomonas gilvus ATCC 13127	strain=ATCC 13127	models/c/cellulomonas/Cellulomonas_gilvus_ATCC_13127.xml.gz	593907	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas gilvus
GCF_000020965.1	309799	Dictyoglomus thermophilum H-6-12	strain=H-6-12; ATCC 35947	models/d/dictyoglomus/Dictyoglomus_thermophilum_H_6_12_H_6_12_ATCC_35947.xml.gz	309799	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomus thermophilum
GCF_000378225.1	1122236	Methylophilus methylotrophus DSM 46235 = ATCC 53528	strain=ATCC 53528	models/m/methylophilus/Methylophilus_methylotrophus_DSM_46235_ATCC_53528.xml.gz	1122236	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylophilus	s__Methylophilus methylotrophus
GCF_000012885.1	338963	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	models/p/pelobacter/Pelobacter_carbinolicus_DSM_2380.xml.gz	338963	d__Bacteria	p__Desulfobacterota	c__Desulfuromonadia	o__Desulfuromonadales	f__Syntrophotaleaceae	g__Syntrophotalea	s__Syntrophotalea carbinolica
GCF_001375595.1	31967	Phenylobacterium immobile (ATCC 35973)	strain=(strain E)	models/p/phenylobacterium/Phenylobacterium_immobile_ATCC_35973_strain_E.xml.gz	31967	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium immobile
GCF_000518705.1	1336240	Shewanella colwelliana ATCC 39565	strain=ATCC 39565	models/s/shewanella/Shewanella_colwelliana_ATCC_39565.xml.gz	1336240	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella colwelliana
GCF_000012685.1	246197	Myxococcus xanthus DK 1622	strain=DK 1622	models/m/myxococcus/Myxococcus_xanthus_DK_1622.xml.gz	246197	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcus	s__Myxococcus xanthus
GCF_000165485.1	378806	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	models/s/stigmatella/Stigmatella_aurantiaca_DW4_3_1.xml.gz	378806	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Stigmatella	s__Stigmatella aurantiaca_A
GCF_000335475.2	1242864	Cystobacter fuscus DSM 2262	strain=DSM 2262	models/c/cystobacter/Cystobacter_fuscus_DSM_2262.xml.gz	1242864	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Cystobacter	s__Cystobacter fuscus
GCF_000601485.1	1192034	Chondromyces apiculatus DSM 436	strain=DSM 436	models/c/chondromyces/Chondromyces_apiculatus_DSM_436.xml.gz	1192034	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Chondromyces	s__Chondromyces apiculatus
GCF_001189295.1	52	Chondromyces crocatus	strain=Cm c5	models/c/chondromyces/Chondromyces_crocatus_Cm_c5.xml.gz	52	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Chondromyces	s__Chondromyces crocatus
GCF_000067165.1	448385	Sorangium cellulosum So ce56	strain=So ce 56	models/s/sorangium/Sorangium_cellulosum_So_ce56_So_ce_56.xml.gz	448385	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Sorangium	s__Sorangium cellulosum_B
GCF_000382305.1	1123499	Vitreoscilla stercoraria DSM 513	strain=DSM 513	models/v/vitreoscilla/Vitreoscilla_stercoraria_DSM_513.xml.gz	1123499	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Vitreoscilla	s__Vitreoscilla stercoraria
GCF_002222655.1	63	Vitreoscilla filiformis	strain=ATCC 15551	models/v/vitreoscilla/Vitreoscilla_filiformis_ATCC_15551.xml.gz	63	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ideonella	s__Ideonella filiformis
GCF_001442515.1	69	Lysobacter enzymogenes	strain=C3	models/l/lysobacter/Lysobacter_enzymogenes_C3.xml.gz	69	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter enzymogenes
GCF_000163775.2	641147	Simonsiella muelleri ATCC 29453	strain=ATCC 29453	models/s/simonsiella/Simonsiella_muelleri_ATCC_29453.xml.gz	641147	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Simonsiella	s__Simonsiella muelleri
GCF_000685215.1	1280952	Hyphomonas jannaschiana VP2	strain=VP2	models/h/hyphomonas/Hyphomonas_jannaschiana_VP2.xml.gz	1280952	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__Hyphomonas jannaschiana
GCF_000427405.1	929703	Flectobacillus major DSM 103	strain=DSM 103	models/f/flectobacillus/Flectobacillus_major_DSM_103.xml.gz	929703	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Flectobacillus	s__Flectobacillus major
GCF_000222485.1	880070	Cyclobacterium marinum DSM 745	strain=DSM 745	models/c/cyclobacterium/Cyclobacterium_marinum_DSM_745.xml.gz	880070	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Cyclobacterium	s__Cyclobacterium marinum
GCF_000218895.1	761193	Runella slithyformis DSM 19594	strain=DSM 19594	models/r/runella/Runella_slithyformis_DSM_19594.xml.gz	761193	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Runella	s__Runella slithyformis
GCF_000171775.1	214688	Gemmata obscuriglobus UQM 2246	strain=UQM 2246	models/g/gemmata/Gemmata_obscuriglobus_UQM_2246.xml.gz	214688	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__Gemmata obscuriglobus
GCF_000165715.2	756272	Rubinisphaera brasiliensis DSM 5305	strain=DSM 5305	models/r/rubinisphaera/Rubinisphaera_brasiliensis_DSM_5305.xml.gz	756272	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Rubinisphaera	s__Rubinisphaera brasiliensis
GCF_000092105.1	521674	Planctopirus limnophila DSM 3776	strain=DSM 3776	models/p/planctopirus/Planctopirus_limnophila_DSM_3776.xml.gz	521674	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctopirus	s__Planctopirus limnophila
GCF_000181475.1	344747	Gimesia maris DSM 8797	strain=DSM 8797	models/g/gimesia/Gimesia_maris_DSM_8797.xml.gz	344747	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Gimesia	s__Gimesia maris
GCF_000153105.1	314230	Blastopirellula marina DSM 3645	strain=DSM 3645	models/b/blastopirellula/Blastopirellula_marina_DSM_3645.xml.gz	314230	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__Blastopirellula	s__Blastopirellula marina
GCF_000025185.1	530564	Pirellula staleyi DSM 6068	strain=DSM 6068	models/p/pirellula/Pirellula_staleyi_DSM_6068.xml.gz	530564	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__Pirellula staleyi
GCF_000186345.1	575540	Isosphaera pallida ATCC 43644	strain=ATCC 43644	models/i/isosphaera/Isosphaera_pallida_ATCC_43644.xml.gz	575540	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Isosphaerales	f__Isosphaeraceae	g__Isosphaera	s__Isosphaera pallida
GCF_000283235.1	1134912	Methylocystis parvus OBBP	strain=OBBP	models/m/methylocystis/Methylocystis_parvus_OBBP.xml.gz	1134912	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylocystis	s__Methylocystis parvus
GCF_000008685.2	224326	Borrelia burgdorferi B31	strain=B31	models/b/borrelia/Borrelia_burgdorferi_B31.xml.gz	224326	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borreliella	s__Borreliella burgdorferi
GCF_001660005.1	1867252	Borrelia hermsii HS1	strain=HS1	models/b/borrelia/Borrelia_hermsii_HS1.xml.gz	1867252	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borrelia	s__Borrelia hermsii
GCF_000012085.2	314724	Borrelia turicatae 91E135	strain=91E135	models/b/borrelia/Borrelia_turicatae_91E135.xml.gz	314724	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borrelia	s__Borrelia turicatae
GCF_001936255.1	1365188	Borrelia anserina Es	strain=Es	models/b/borrelia/Borrelia_anserina_Es.xml.gz	1365188	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borrelia	s__Borrelia anserina
GCF_000184345.1	869211	Spirochaeta thermophila DSM 6578	strain=DSM 6578	models/s/spirochaeta/Spirochaeta_thermophila_DSM_6578.xml.gz	869211	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales_A	f__Spirochaetaceae_A	g__Spirochaeta_A	s__Spirochaeta_A thermophila
GCF_000008185.1	243275	Treponema denticola ATCC 35405	strain=ATCC 35405	models/t/treponema/Treponema_denticola_ATCC_35405.xml.gz	243275	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_B	s__Treponema_B denticola
GCF_001676785.2	1266923	Brachyspira hyodysenteriae ATCC 27164	strain=B-78	models/b/brachyspira/Brachyspira_hyodysenteriae_ATCC_27164_B_78.xml.gz	1266923	d__Bacteria	p__Spirochaetota	c__Brachyspirae	o__Brachyspirales	f__Brachyspiraceae	g__Brachyspira	s__Brachyspira hyodysenteriae
GCF_000604125.1	1095955	Treponema pallidum subsp. pallidum str. Sea 81-4	strain=Sea 81-4	models/t/treponema/Treponema_pallidum_subsp_pallidum_str_Sea_81_4.xml.gz	1095955	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema	s__Treponema pallidum
GCF_000513775.1	1306407	Treponema phagedenis 4A	strain=4A	models/t/treponema/Treponema_phagedenis_4A.xml.gz	1306407	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema	s__Treponema phagedenis
GCF_000421345.1	877418	Treponema bryantii NK4A124	strain=NK4A124	models/t/treponema/Treponema_bryantii_NK4A124.xml.gz	877418	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D bryantii_B
GCF_000255555.1	907348	Treponema saccharophilum DSM 2985	strain=DSM 2985	models/t/treponema/Treponema_saccharophilum_DSM_2985.xml.gz	907348	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D saccharophilum
GCF_000195275.1	869209	Treponema succinifaciens DSM 2489	strain=DSM 2489	models/t/treponema/Treponema_succinifaciens_DSM_2489.xml.gz	869209	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D succinifaciens
GCF_000017685.1	456481	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	strain=Patoc 1 (Paris)	models/l/leptospira/Leptospira_biflexa_serovar_Patoc_strain_Patoc_1_Paris.xml.gz	456481	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira_A	s__Leptospira_A biflexa
GCF_000092565.1	189518	Leptospira interrogans serovar Lai str. 56601	strain=56601	models/l/leptospira/Leptospira_interrogans_serovar_Lai_str_56601.xml.gz	189518	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira interrogans
GCF_000013945.1	355276	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	strain=L550	models/l/leptospira/Leptospira_borgpetersenii_serovar_Hardjo_bovis_str_L550.xml.gz	355276	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira borgpetersenii
GCF_000284315.1	1162668	Leptospirillum ferrooxidans C2-3	strain=C2-3	models/l/leptospirillum/Leptospirillum_ferrooxidans_C2_3.xml.gz	1162668	d__Bacteria	p__Nitrospirota_A	c__Leptospirillia	o__Leptospirillales	f__Leptospirillaceae	g__Leptospirillum	s__Leptospirillum ferrooxidans
GCF_000243335.1	929563	Leptonema illini DSM 21528	strain=DSM 21528	models/l/leptonema/Leptonema_illini_DSM_21528.xml.gz	929563	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptonemataceae	g__Leptonema	s__Leptonema illini
GCF_000381985.1	1279038	Novispirillum itersonii subsp. itersonii ATCC 12639	strain=ATCC 12639	models/n/novispirillum/Novispirillum_itersonii_subsp_itersonii_ATCC_12639.xml.gz	1279038	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Novispirillum	s__Novispirillum itersonii
GCF_000420525.1	1121004	Aquaspirillum serpens DSM 68	strain=DSM 68	models/a/aquaspirillum/Aquaspirillum_serpens_DSM_68.xml.gz	1121004	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Aquaspirillum	s__Aquaspirillum serpens
GCF_900177475.1	193	Azospirillum lipoferum	strain=R1C	models/a/azospirillum/Azospirillum_lipoferum_R1C.xml.gz	193	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum agricola
GCF_002024185.1	195	Campylobacter coli	strain=aerotolerant OR12	models/c/campylobacter/Campylobacter_coli_aerotolerant_OR12.xml.gz	195	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D coli
GCF_000495505.1	1244528	Campylobacter fetus subsp. testudinum 03-427	strain=03-427	models/c/campylobacter/Campylobacter_fetus_subsp_testudinum_03_427.xml.gz	1244528	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter testudinum
GCF_900065885.1	32019	Campylobacter fetus subsp. fetus	strain=RC11	models/c/campylobacter/Campylobacter_fetus_subsp_fetus_RC11.xml.gz	32019	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter hyointestinalis
GCF_000009085.1	192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	models/c/campylobacter/Campylobacter_jejuni_subsp_jejuni_NCTC_11168_ATCC_700819.xml.gz	192222	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni
GCF_002179165.1	197	Campylobacter jejuni	strain=isolate_W1	models/c/campylobacter/Campylobacter_jejuni_isolate_W1.xml.gz	197	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni
GCF_001643955.1	1031746	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	strain=LMG 9260	models/c/campylobacter/Campylobacter_hyointestinalis_subsp_hyointestinalis_LMG_9260.xml.gz	1031746	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter hyointestinalis
GCF_001643975.1	91353	Campylobacter hyointestinalis subsp. lawsonii	strain=LMG 15993	models/c/campylobacter/Campylobacter_hyointestinalis_subsp_lawsonii_LMG_15993.xml.gz	91353	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter lawsonii
GCF_001298465.1	199	Campylobacter concisus	strain=ATCC 33237	models/c/campylobacter/Campylobacter_concisus_ATCC_33237.xml.gz	199	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A concisus
GCF_000017465.2	360105	Campylobacter curvus 525.92	strain=525.92	models/c/campylobacter/Campylobacter_curvus_525_92.xml.gz	360105	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A curvus
GCF_000019205.1	306263	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	models/c/campylobacter/Campylobacter_lari_RM2100_RM2100_ATCC_BAA_1060D.xml.gz	306263	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D lari
GCF_000705255.1	202	Campylobacter mucosalis	strain=DSM 21682	models/c/campylobacter/Campylobacter_mucosalis_DSM_21682.xml.gz	202	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A mucosalis
GCF_000313615.1	1244083	Campylobacter showae CSUNSWCD	strain=CSUNSWCD	models/c/campylobacter/Campylobacter_showae_CSUNSWCD.xml.gz	1244083	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A showae_A
GCF_002220735.1	1031920	Campylobacter sputorum bv. faecalis CCUG 20703	strain=CCUG 20703	models/c/campylobacter/Campylobacter_sputorum_bv_faecalis_CCUG_20703.xml.gz	1031920	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_B	s__Campylobacter_B sputorum
GCF_000008525.1	85962	Helicobacter pylori 26695	strain=26695	models/h/helicobacter/Helicobacter_pylori_26695.xml.gz	85962	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__Helicobacter pylori
GCF_000349975.1	537971	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	strain=ATCC BAA-847	models/h/helicobacter/Helicobacter_cinaedi_CCUG_18818_ATCC_BAA_847.xml.gz	537971	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C cinaedi
GCF_000200595.1	936155	Helicobacter felis ATCC 49179	strain=ATCC 49179	models/h/helicobacter/Helicobacter_felis_ATCC_49179.xml.gz	936155	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_E	s__Helicobacter_E felis
GCF_000509365.1	1325130	Helicobacter fennelliae MRY12-0050	strain=MRY12-0050	models/h/helicobacter/Helicobacter_fennelliae_MRY12_0050.xml.gz	1325130	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_B	s__Helicobacter_B fennelliae
GCF_000765805.1	216	Helicobacter muridarum	strain=ST1	models/h/helicobacter/Helicobacter_muridarum_ST1.xml.gz	216	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_A	s__Helicobacter_A muridarum
GCF_000091985.1	679897	Helicobacter mustelae 12198	strain=12198	models/h/helicobacter/Helicobacter_mustelae_12198.xml.gz	679897	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_H	s__Helicobacter_H mustelae
GCF_900176575.1	244	Planomicrobium okeanokoites	strain=Marseille-P2029	models/p/planomicrobium/Planomicrobium_okeanokoites_Marseille_P2029.xml.gz	244	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus okeanokoites
GCF_000757385.1	1453498	Flavobacterium aquatile LMG 4008	strain=LMG 4008	models/f/flavobacterium/Flavobacterium_aquatile_LMG_4008.xml.gz	1453498	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium aquatile
GCF_000382425.1	1218108	Empedobacter brevis NBRC 14943 = ATCC 43319	strain=ATCC 43319	models/e/empedobacter/Empedobacter_brevis_NBRC_14943_ATCC_43319.xml.gz	1218108	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Empedobacter	s__Empedobacter brevis
GCF_000425585.1	1123356	Terrimonas ferruginea DSM 30193	strain=DSM 30193	models/t/terrimonas/Terrimonas_ferruginea_DSM_30193.xml.gz	1123356	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Terrimonas	s__Terrimonas ferruginea
GCF_000355905.1	1189619	Psychroflexus gondwanensis ACAM 44	strain=ACAM 44	models/p/psychroflexus/Psychroflexus_gondwanensis_ACAM_44.xml.gz	1189619	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Psychroflexus	s__Psychroflexus gondwanensis
